INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
814,1991,MN0271800,Richfield,,City,MN,Minnesota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",28-Aug-91,,,1,,,Black or African American,,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
825,1991,MN0620400,Maplewood,,City,MN,Minnesota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",10-Apr-91,,,3,,,Multiple,,1,Simple Assault,1,Air/Bus/Train Terminal,Anti-Asian,Individual,S,S
827,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",13-Sep-91,,,3,,,Black or African American,,2,Aggravated Assault,2,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
832,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",13-Jan-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0,Residence/Home,Anti-Asian,Government,S,S
833,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",14-Jul-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
834,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",20-Jul-91,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property;Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual;Society/Public,M,S
835,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",7-Jul-91,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property;Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual;Society/Public,M,S
847,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",14-Nov-91,,,3,,,Black or African American,,2,Aggravated Assault,2,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
849,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",9-May-91,,,3,,,White,,1,Destruction/Damage/Vandalism of Property,0,Parking/Drop Lot/Garage,Anti-Asian,Society/Public,S,S
852,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",4-Oct-91,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property;Intimidation,1,Residence/Home,Anti-Asian,Individual;Other,M,S
860,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",28-Jul-91,,,1,,,Black or African American,,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
867,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",23-Dec-91,,,1,,,Black or African American,,1,Simple Assault,1,Residence/Home,Anti-Asian,Individual,S,S
3112,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",22-Oct-91,,,3,,,White,,1,Destruction/Damage/Vandalism of Property,0,Residence/Home,Anti-Asian,Other,S,S
3545,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",24-May-91,,,1,,,Black or African American,,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
3549,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",7-Sep-91,,,5,,,Black or African American,,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
3559,1991,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",1-May-91,,,1,,,Black or African American,,1,Simple Assault,1,Residence/Home,Anti-Asian,Individual,S,S
3573,1991,MN0690600,Duluth,,City,MN,Minnesota,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",18-May-91,,,0,,,Unknown,,3,Destruction/Damage/Vandalism of Property;Intimidation,2,Residence/Home,Anti-Asian,Individual;Society/Public,M,S
3578,1991,MN0730400,St. Cloud,,City,MN,Minnesota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",8-Feb-91,,,1,,,White,,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
886,1991,MN0850200,Winona,,City,MN,Minnesota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",29-Sep-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1,Parking/Drop Lot/Garage,Anti-Asian,Individual,S,S
946,1991,MO0390300,Springfield,,City,MO,Missouri,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",12-May-91,,,0,,,Unknown,,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
967,1991,MO0390300,Springfield,,City,MO,Missouri,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",28-Feb-91,,,1,,,White,,1,Simple Assault,1,Residence/Home,Anti-Asian,Individual,S,S
927,1991,MOSPD0000,St. Louis,,City,MO,Missouri,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",20-Sep-91,,,6,,,Multiple,,16,Aggravated Assault,16,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
3294,1991,MOSPD0000,St. Louis,,City,MO,Missouri,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",24-Apr-91,,,0,,,Unknown,,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
